Год,коэффициент_замещения,коэффициент_нагрузки,ест_прирост_‰,миграция_‰,доля_пенсионеров,опережение_зп,z_замещение,z_нагрузка,z_прирост,z_миграция,z_старение,z_финустой,ИПУ,Округ,медианная_зарплата,средняя_пенсия,родившиеся,умершие,миграция,население_всего,занятые,пенсионеры_всего
2029,0.9244661956673949,0.6433773902514572,-11.491146113907398,-6.448920764956512e-06,0.3037827955650456,-0.24247551493898356,3.5658309629440175,1.4064924868082027,0.7203021616257553,-3.149377436792543e-06,0.20334151934978467,-0.05760566039963998,72.19750027395068,Приволжский,,,,,,,,
2030,0.93958373799074,0.6469225146711313,-11.280358201160684,-7.2902099936822395e-06,0.3045799668126734,-0.24402494285352244,3.6639792805421694,1.4512642805060922,0.7581422432160303,-3.560227160542138e-06,0.21416166660677244,-0.07039305458058132,72.79138151026646,Приволжский,,,,,,,,
2031,0.9535942258480764,0.6503850561226341,-11.082880549176549,-8.132085167367187e-06,0.30536757892704536,-0.2455756734878326,3.7549402173475785,1.4949931241756553,0.7935929024400948,-3.9713630347812525e-06,0.22485206604635563,-0.08319120007887428,73.32213169957313,Приволжский,,,,,,,,
2032,0.9665607043618202,0.6537664334481945,-10.898370182819447,-8.974546692908092e-06,0.30614573204509643,-0.24712763785825315,3.8391230841176136,1.5376969365424533,0.8267157092757688,-4.382785258220874e-06,0.23541407684497898,-0.09599952757389692,73.79484951751353,Приволжский,,,,,,,,
2033,0.9785770941615916,0.6570770050783141,-10.725954516397827,-9.819905505525917e-06,0.30691661914129886,-0.24868502344267296,3.91713764608976,1.5795065354448892,0.8576673079695484,-4.795622392911622e-06,0.24587746463554888,-0.10885259622770302,74.21543912529688,Приволжский,,,,,,,,
2034,0.9896390277792068,0.6603001053423523,-10.566096476942109,-1.0663542566735629e-05,0.3076761267130319,-0.2502392503627946,3.9889555481487977,1.6202114481662313,0.8863645951006868,-5.207618697759035e-06,0.2561863961147055,-0.12167959649517954,74.58614446340877,Приволжский,,,,,,,,
2035,0.9998401424462061,0.6634463086723918,-10.417784419724871,-1.1507767203933206e-05,0.30842647186268457,-0.25179450259320907,4.055184715613782,1.6599452204542846,0.912989178421389,-5.61990194962069e-06,0.26637096440786495,-0.13451505862574065,74.91241965154971,Приволжский,,,,,,,,
2036,1.009237913865241,0.6665170330467955,-10.280462502534428,-1.2352579825458676e-05,0.3091677519724165,-0.25335071033484696,4.116198300641151,1.698725760124744,0.9376408412369096,-6.032472347912414e-06,0.2764324913004164,-0.147358406569216,75.19820357282637,Приволжский,,,,,,,,
2037,1.017910259638065,0.6695218019940274,-10.153220365031505,-1.3200297815374462e-05,0.3099020578271714,-0.25491207077697237,4.172502171272139,1.73667334093988,0.960483008997341,-6.446461604023534e-06,0.2863993553886025,-0.16024427963542334,75.44778180736851,Приволжский,,,,,,,,
2038,1.0258626395042065,0.6724456077782959,-10.036165136172967,-1.4046289245173149e-05,0.310625473023328,-0.25646998160279566,4.224131774025618,1.773598428437373,0.9814964501992461,-6.859607681923255e-06,0.2962183986288722,-0.17310168309487187,75.66317221605834,Приволжский,,,,,,,,
2039,1.0331698827876772,0.6752981628338715,-9.92834664607548,-1.4892869886651283e-05,0.3113401113711083,-0.2580286373633715,4.271572926774733,1.8096236820931657,1.0008517367954541,-7.273041505639117e-06,0.3059183121436702,-0.18596523448429542,75.84821620350434,Приволжский,,,,,,,,
2040,1.0398794617598535,0.6780808611663287,-9.82918201589602,-1.5740040149259116e-05,0.31204606742841534,-0.2595879676434939,4.315133835937468,1.8447667069677887,1.0186535056348713,-7.686763275129133e-06,0.3155003793842481,-0.19883435266856211,76.0057765266426,Приволжский,,,,,,,,
2041,1.0460523087307068,0.6808024312401548,-9.73786103252974,-1.659012388477432e-05,0.31274533392361126,-0.26115217646298755,4.355210095161463,1.8791377358669372,1.0350472040042675,-8.101907860338495e-06,0.32499164800741126,-0.21174373332995483,76.1388154705092,Приволжский,,,,,,,,
2042,1.0516968941743263,0.683449379196682,-9.654326600068948,-1.743847623747463e-05,0.31343418306702153,-0.2627126454239791,4.391856697696504,1.9125663532607333,1.050043081608084,-8.516206912136853e-06,0.33434152006028434,-0.22462224902215558,76.24902548650779,Приволжский,,,,,,,,
2043,1.05687028977351,0.6860305981240007,-9.577783649626266,-1.8287419442097885e-05,0.3141146295505164,-0.26427357678182317,4.4254441726622895,1.9451648710057399,1.0637838670837285,-8.930794510776213e-06,0.3435773413142786,-0.23750458086531492,76.33901577293288,Приволжский,,,,,,,,
2044,1.0616093962684854,0.6885474400449147,-9.507720247725779,-1.9136953909537624e-05,0.31478676505805603,-0.26583489970823665,4.456212092437319,1.976950363957134,1.0763614613578005,-9.345670856919432e-06,0.3527003562121073,-0.2503901443151846,76.41081328249105,Приволжский,,,,,,,,
2045,1.0659599994217213,0.6910078816059424,-9.443481442770352,-1.9989409976273187e-05,0.31545248828829897,-0.2674008221547896,4.484457714039974,2.0080235701229623,1.0878934395870075,-9.761973987362996e-06,0.36173633612867034,-0.2633136675026547,76.46640444299432,Приволжский,,,,,,,,
